critic_id,name,media,country
c001,Adrian Martin,Lola Magazine,Australia
c002,Adriano Aprà,Film historian,Italy
c003,Agnès C Poirier,Marianne,France
c004,Aisha Harris,Slate,US
c005,Alaka Sahani,The Indian Express,India
c006,Alberto Ramos Ruiz,La Habana International Festival of New Latin American Cinema,Cuba
c007,Alexander Horwath,Austrian Film Museum,Austria
c008,Ali Arikan,Dipnot TV,Turkey
c009,Alin Tasciyan,Star,Turkey
c010,Alissa Wilkinson,Christianity Today,US
c011,Alonso Duralde,TheWrap,US
c012,Alyssa Rosenberg,The Washington Post,US
c013,Amy Nicholson,MTV News,US
c014,Ana Maria Bahiana,Freelance film critic,Brazil
c015,Anastasiya Lelyukh,Front Row Filmed Entertainment,UAE
c016,Andreas Borcholte,Spiegel Online,Germany
c017,Andreas Kilb,Frankfurter Allgemeine Zeitung,Germany
c018,Angie Han,Slashfilm,US
c019,Ann Hornaday,The Washington Post,US
c020,Annette Insdorf,Columbia University,US
c021,Antoine Guillot,France Culture,France
c022,Antonio Martínez,El Mercurio,Chile
c023,Antonio Mazón Robau,Cinemateca de Cuba,Cuba
c024,Arturo Aguilar,Rolling Stone Mexico,Mexico
c025,Avner Shavit,Walla,Israel
c026,Aysha Iqbal,Indian Institute of Technology,India
c027,Ben Mankiewicz,Turner Classic Movies,US
c028,Bilge Ebiri,The Village Voice,US
c029,Brian Truitt,USA Today,US
c030,Butheina Kazim,Cinema Akil,UAE
c031,Calum Marsh,Freelance film critic,Canada
c032,Cameron Bailey,Toronto Film Festival,Canada
c033,Carmen Gray,Berlin Critics’ Week,Germany
c034,Carrie Rickey,Freelance film critic,US
c035,Catherine Shoard,The Guardian,UK
c036,Chadi Zeneddine,Doha Film Institute,Qatar
c037,Charles Taylor,The Yale Review,US
c038,Cho Seongyong,Freelance film critic,South Korea
c039,Chris Nashawaty,Entertainment Weekly,US
c040,Chris Newbould,The National,UAE
c041,Christian Blauvelt,BBC Culture,US
c042,Claudia Puig,Freelance film critic,US
c043,Colin Covert,Minneapolis Star-Tribune,US
c044,Cédric Succivalli,International Cinephile Society,Italy
c045,Dan Kois,Slate,US
c046,Dave Karger,Freelance,US
c047,David Ehrlich,IndieWire,US
c048,David Fear,Rolling Stone,US
c049,David Jenkins,Little White Lies,UK
c050,David Stratton,The Australian,Australia
c051,Devin Faraci,Birth.Movies.Death.,US
c052,Diego Batlle,La Nacion,Argentina
c053,Dominik Kamalzadeh,Der Standard,Austria
c054,Drew McWeeny,HitFix,US
c055,E Nina Rothe,The Huffington Post,Italy
c056,Ed Gonzalez,Slant Magazine,US
c057,Ella Taylor,NPR.org,US
